wavelength flux
3448.0 -1167.4133
3450.609184171959 -1170.4946
3453.218368343918 -1173.4238
3455.827552515877 -1176.5046
3458.436736687836 -1179.4678
3461.045920859795 -1105.2051
3463.655105031754 -2174.5928
3466.264289203713 -1674.6848
3468.873473375672 -1071.8394
3471.482657547631 -376.54062
3474.09184171959 -1080.5024
3476.7010258915484 -137.30505
3479.3102100635074 -1273.0063
3481.9193942354664 -1056.051
3484.5285784074254 -687.9555
3487.1377625793843 -1908.7751
3489.7469467513433 -1756.6941
3492.3561309233023 -896.6599
3494.9653150952613 -1118.9651
3497.5744992672203 -700.7513
3500.1836834391793 -860.4928
3502.7928676111383 -426.13443
3505.4020517830972 -1342.2825
3508.0112359550562 -578.43854
3510.620420127015 -2092.5913
3513.229604298974 -141.22331
3515.838788470933 -328.97305
3518.447972642892 -938.37823
3521.057156814851 -1553.6892
3523.66634098681 -1817.6006
3526.275525158769 -587.1672
3528.8847093307277 -300.401
3531.4938935026867 -749.83484
3534.1030776746456 -867.2661
3536.7122618466046 -1240.7822
3539.3214460185636 -830.09906
3541.9306301905226 -1121.0999
3544.5398143624816 -734.3948
3547.1489985344406 -1057.7776
3549.7581827063996 207.29617
3552.3673668783586 -791.7324
3554.9765510503175 -1939.9337
3557.5857352222765 -813.16785
3560.1949193942355 -1061.1981
3562.8041035661945 -25.363373
3565.4132877381535 -1071.1948
3568.0224719101125 -1973.5503
3570.6316560820715 -412.1025
3573.2408402540304 249.44492
3575.8500244259894 -188.81511
3578.4592085979484 -500.93
3581.0683927699074 -1718.0792
3583.677576941866 -887.4238
3586.286761113825 -487.70874
3588.895945285784 14.486633
3591.505129457743 -875.58716
3594.114313629702 -1058.1252
3596.723497801661 -922.5425
3599.33268197362 -1087.4274
3601.941866145579 -513.8933
3604.551050317538 -1273.8348
3607.160234489497 -1674.1709
3609.769418661456 -953.47424
3612.378602833415 -791.3219
3614.987787005374 -709.5002
3617.5969711773328 -892.33716
3620.2061553492917 -640.6817
3622.8153395212507 -776.55383
3625.4245236932097 -898.27856
3628.0337078651687 -662.3141
3630.6428920371277 -624.47076
3633.2520762090867 -683.91296
3635.861260381045 72.45163
3638.470444553004 -497.77216
3641.079628724963 -238.68724
3643.688812896922 70.888695
3646.297997068881 -1110.793
3648.90718124084 -841.1214
3651.516365412799 677.44806
3654.125549584758 -468.02838
3656.734733756717 -751.59265
3659.343917928676 -1049.3243
3661.953102100635 -129.43793
3664.562286272594 -595.88684
3667.171470444553 -835.37604
3669.780654616512 -705.876
3672.389838788471 204.87462
3674.99902296043 -717.1908
3677.608207132389 -374.0936
3680.217391304348 -18.086466
3682.826575476307 -723.0199
3685.435759648266 -479.6925
3688.044943820225 -524.7613
3690.6541279921835 -602.9958
3693.2633121641425 -297.4533
3695.8724963361014 -572.42834
3698.4816805080604 -79.88019
3701.0908646800194 -589.1499
3703.7000488519784 -59.220787
3706.3092330239374 -124.366066
3708.9184171958964 -121.459015
3711.5276013678554 -21.376055
3714.1367855398144 -509.15186
3716.7459697117733 -280.35715
3719.3551538837323 -219.00626
3721.9643380556913 192.42792
3724.5735222276503 781.51776
3727.1827063996093 2061.0212
3729.7918905715683 2687.297
3732.4010747435273 1604.4915
3735.0102589154862 219.60788
3737.6194430874452 -179.51317
3740.2286272594038 70.58781
3742.8378114313628 161.62863
3745.4469956033217 -194.66873
3748.0561797752807 -102.51889
3750.6653639472397 -23.127558
3753.2745481191987 -145.8424
3755.8837322911577 -300.94226
3758.4929164631167 101.73081
3761.1021006350757 -67.5483
3763.7112848070346 -9.262379
3766.3204689789936 -227.81947
3768.9296531509526 251.57294
3771.5388373229116 565.3762
3774.1480214948706 171.70381
3776.7572056668296 -179.22075
3779.3663898387886 119.399055
3781.9755740107476 -319.58304
3784.5847581827065 -209.59341
3787.1939423546655 17.776516
3789.8031265266245 177.26538
3792.4123106985835 124.25302
3795.0214948705425 9.785746
3797.6306790425015 389.29947
3800.23986321446 381.43738
3802.849047386419 -82.998405
3805.458231558378 124.33284
3808.067415730337 -103.267
3810.676599902296 43.48595
3813.285784074255 139.96057
3815.894968246214 362.5403
3818.504152418173 159.2247
3821.113336590132 110.513016
3823.722520762091 -97.94987
3826.33170493405 107.32664
3828.940889106009 -63.184704
3831.550073277968 150.0172
3834.159257449927 305.21463
3836.768441621886 456.9448
3839.377625793845 399.30148
3841.986809965804 27.490517
3844.595994137763 100.39533
3847.2051783097213 66.81939
3849.8143624816803 216.08945
3852.4235466536393 62.183098
3855.0327308255983 113.412964
3857.6419149975573 333.41345
3860.2510991695162 69.34829
3862.860283341475 -27.00346
3865.469467513434 313.1627
3868.078651685393 1565.865
3870.687835857352 2648.0674
3873.297020029311 1610.4104
3875.90620420127 374.0877
3878.515388373229 76.46333
3881.124572545188 110.59346
3883.733756717147 31.294487
3886.342940889106 223.8809
3888.952125061065 918.8918
3891.561309233024 1317.6832
3894.170493404983 679.0706
3896.779677576942 165.19034
3899.388861748901 63.32109
3901.99804592086 71.437004
3904.607230092819 101.80281
3907.2164142647775 -9.5930605
3909.8255984367365 78.30325
3912.4347826086955 70.56236
3915.0439667806545 169.90372
3917.6531509526135 27.735363
3920.2623351245725 59.921345
3922.8715192965315 81.12867
3925.4807034684904 18.604021
3928.0898876404494 44.488113
3930.6990718124084 73.14757
3933.3082559843674 87.45608
3935.9174401563264 45.03703
3938.5266243282854 130.42532
3941.1358085002444 85.86424
3943.7449926722034 144.33896
3946.3541768441623 120.31964
3948.9633610161213 117.88999
3951.5725451880803 113.02673
3954.181729360039 155.19293
3956.790913531998 141.9137
3959.400097703957 159.04716
3962.009281875916 71.8079
3964.618466047875 127.445404
3967.227650219834 573.40607
3969.8368343917928 1177.6434
3972.4460185637517 1342.2625
3975.0552027357107 587.2811
3977.6643869076697 154.30128
3980.2735710796287 133.19882
3982.8827552515877 165.38043
3985.4919394235467 100.57058
3988.1011235955057 83.15375
3990.7103077674647 57.520226
